Comment,Designator,Footprint,LCSC,Quantity
PROG BUTTON,SW1,KEY-SMD_4P-L4.2-W3.2-P2.20-LS4.6,C139797,1
~,J5,JST_SH_BM05B-SRSS-TB_1x05-1MP_P1.00mm_Vertical,C160391,1
TXS0108EPWR,U2,TSSOP-20_L6.5-W4.4-P0.65-LS6.4-BL,C17206,1
DIODE SCHOTTKY 40V SOD-323HE,"D1,D2",SOD-323_L1.7-W1.3-LS2.6-RD-1,C172430,2
AP63205WU-7,U5,TSOT-26_L2.9-W1.6-P0.95-LS2.8-BL,C2071056,1
10uf/50V,"C6,C7",C_0805_2012Metric,C2932476,2
100nF/50v,C8,C_0805_2012Metric,C5137467,1
CR5040-4R7M,L1,IND-SMD_L5.0-W5.0,C520348,1
100nF/16v,"C1,C2,C3,C4,C5",C_01005_0402Metric,C60474,5
22uf/16V,"C10,C9",C_0805_2012Metric,C98190,2
ADuM1201AR / ADum1250,U3,SOIC-8_3.9x4.9mm_P1.27mm,,1
