Designator,Mid X,Mid Y,Rotation,Layer
C1,121.76,-103.33,-90.0,top
C2,116.94,-103.31,-90.0,top
C3,130.54,-113.86,0.0,top
C4,133.97,-113.86,180.0,top
C5,119.28,-103.31,-90.0,top
C6,124.16,-103.33,90.0,top
C7,130.37,-109.46,90.0,top
D3,117.4,-121.56,0.0,bottom
GN1,113.14,-117.78,180.0,top
J1,117.68,-123.73,90.0,top
J2,117.7,-126.65,90.0,top
J3,134.27,-97.74,180.0,top
J4,127.165,-127.58,0.0,top
R1,117.45,-116.54,0.0,top
R2,119.87,-116.54,0.0,top
R3,125.1,-116.586,90.0,top
R4,126.492,-116.586,90.0,top
SW1,134.61,-109.46,-90.0,top
U1,114.9417,-118.3737,90.0,bottom
U2,132.334,-119.55,90.0,top
U3,118.66,-116.585,-90.0,top
U4,125.73,-116.586,90.0,top
